,bid,tid,nid,fid,face_path,congruency,PC,frequency,corrResp,sbjResp,sbjCorr,sbjRT
49,4,50,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
50,4,51,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
51,4,52,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
52,4,53,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
53,4,54,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
54,4,55,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
55,4,56,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
56,4,57,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
57,4,58,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
58,4,59,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
59,4,60,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
60,4,61,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
61,4,62,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
62,4,63,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
63,4,64,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
64,4,65,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
65,4,66,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
66,4,67,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
67,4,68,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
68,4,69,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
69,4,70,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
70,4,71,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
71,4,72,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
0,5,1,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
1,5,2,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
2,5,3,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
3,5,4,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
4,5,5,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
5,5,6,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
6,5,7,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
7,5,8,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
8,5,9,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
